year,river,numSuitablePatches,numRejuvPatches,numPopPatches,numFertilePop,avgPatchAge,avgPopAge,populated,turned,turned_suitable,turned_unsuitable,sddEvents,lddEvents
4,3,55,11,15,13,29.163636363636364,14.266666666666667,1,7,5,2,1,1
4,4,42,10,16,13,30.833333333333332,13.3125,1,5,2,3,4,6
4,5,55,16,18,15,24.98181818181818,12.222222222222221,1,5,2,3,2,3
4,6,52,11,10,8,33.03846153846154,13.6,1,6,4,2,1,1
4,7,52,10,16,14,27.442307692307693,10.8125,1,5,2,3,1,2
4,8,46,10,27,20,21.97826086956522,8.703703703703704,1,6,2,4,2,4
4,9,48,13,18,15,25.833333333333332,14.222222222222221,1,7,5,2,3,1
4,10,55,15,16,12,26.654545454545456,15.9375,1,2,1,1,1,4
4,11,53,10,25,20,29.264150943396228,16.96,1,4,0,4,1,1
4,12,55,14,22,15,28.29090909090909,7.590909090909091,1,7,3,4,4,7
4,13,52,14,16,12,29.076923076923077,13.0625,1,4,2,2,2,5
4,14,53,10,24,21,30.641509433962263,10.083333333333334,1,6,4,2,6,7
4,15,58,12,18,14,31.06896551724138,11.0,1,2,1,1,3,4
4,16,52,12,24,18,32.25,14.791666666666666,1,4,2,2,2,3
4,17,50,11,14,14,28.6,12.0,1,4,1,3,0,1
4,18,43,10,13,7,24.558139534883722,11.307692307692308,1,1,1,0,3,3
4,19,48,13,22,15,27.625,9.818181818181818,1,2,1,1,2,4
4,20,42,9,14,13,32.04761904761905,14.714285714285714,1,3,1,2,2,2
5,1,48,6,17,14,33.8125,15.470588235294118,1,1,0,1,0,2
5,2,54,10,19,16,27.98148148148148,10.736842105263158,1,1,0,1,1,2
5,3,58,16,16,15,27.82758620689655,14.4375,1,5,1,4,0,2
5,4,41,10,19,14,30.536585365853657,12.263157894736842,1,4,2,2,6,1
5,5,54,15,18,15,26.25925925925926,12.833333333333334,1,3,2,1,2,2
5,6,54,13,11,9,31.666666666666668,13.363636363636363,1,4,4,0,3,3
5,7,51,9,17,14,28.0,10.117647058823529,1,7,6,1,0,5
5,8,44,9,24,20,21.295454545454547,9.166666666666666,1,4,4,0,6,9
5,9,51,14,17,14,24.92156862745098,15.058823529411764,1,3,2,1,5,7
5,10,55,10,17,12,27.509090909090908,15.588235294117647,1,6,3,3,2,0
5,11,49,7,22,20,32.142857142857146,19.636363636363637,1,4,3,1,1,3
5,12,54,13,24,18,27.24074074074074,7.791666666666667,1,4,1,3,4,10
5,13,52,13,17,11,28.51923076923077,12.764705882352942,1,7,4,3,2,2
5,14,55,13,28,20,29.545454545454547,9.571428571428571,1,5,1,4,4,6
5,15,58,12,19,15,31.051724137931036,11.210526315789474,1,4,0,4,1,2
5,16,52,10,24,20,33.11538461538461,15.625,1,4,4,0,5,3
5,17,48,6,14,13,29.916666666666668,12.5,1,5,2,3,1,1
5,18,44,8,14,9,25.0,11.285714285714286,1,6,4,2,1,2
5,19,48,12,21,16,28.25,10.285714285714286,1,6,3,3,2,1
5,20,41,8,15,12,33.63414634146341,14.466666666666667,1,3,3,0,2,2
6,1,47,5,17,15,35.148936170212764,16.294117647058822,1,2,2,0,1,1
6,2,53,7,19,17,28.37735849056604,10.263157894736842,1,4,2,2,4,2
6,3,55,13,17,15,29.236363636363638,14.470588235294118,1,5,3,2,3,4
6,4,41,10,20,15,29.097560975609756,12.5,1,4,3,1,7,8
6,5,55,14,18,14,26.527272727272727,13.166666666666666,1,3,1,2,2,3
6,6,58,17,14,10,30.482758620689655,11.642857142857142,1,5,2,3,1,3
6,7,56,14,21,16,25.821428571428573,8.0,1,2,2,0,3,4
6,8,48,10,27,19,20.520833333333332,9.0,1,6,2,4,2,5
6,9,52,13,20,14,25.28846153846154,13.65,1,5,3,2,4,3
6,10,55,9,16,14,26.69090909090909,14.5,1,4,2,2,1,5
6,11,51,10,24,21,30.666666666666668,18.416666666666668,1,8,4,4,2,4
6,12,52,12,26,19,28.153846153846153,8.076923076923077,1,7,3,4,2,3
6,13,53,14,18,15,28.41509433962264,13.0,1,1,1,0,3,6
6,14,52,12,28,21,29.576923076923077,10.071428571428571,1,6,2,4,3,4
6,15,54,10,17,15,31.77777777777778,12.588235294117647,1,5,1,4,3,4
6,16,56,12,27,21,31.75,14.814814814814815,1,3,1,2,6,7
6,17,47,6,14,13,29.085106382978722,12.071428571428571,1,4,2,2,0,2
6,18,46,10,13,11,24.717391304347824,12.846153846153847,1,7,6,1,2,4
6,19,48,11,20,17,28.041666666666668,11.45,1,2,1,1,1,2
6,20,44,9,17,13,32.34090909090909,13.764705882352942,1,7,4,3,3,4
7,1,49,5,18,16,34.714285714285715,16.38888888888889,1,5,2,3,3,4
7,2,53,8,22,18,27.28301886792453,9.909090909090908,1,9,7,2,3,5
7,3,56,10,18,14,28.357142857142858,14.5,1,7,5,2,1,1
7,4,43,12,23,15,28.488372093023255,11.782608695652174,1,6,5,1,7,7
7,5,54,13,17,13,25.62962962962963,11.705882352941176,1,4,2,2,3,4
7,6,57,13,14,10,30.07017543859649,12.285714285714286,1,3,1,2,3,1
7,7,58,16,22,16,25.93103448275862,8.409090909090908,1,4,1,3,3,4
7,8,46,8,25,20,19.956521739130434,8.92,1,6,4,2,3,2
7,9,53,12,21,15,25.71698113207547,13.80952380952381,1,4,1,3,1,7
7,10,55,11,19,14,26.345454545454544,13.210526315789474,1,4,3,1,1,2
7,11,51,12,25,18,30.0,16.36,1,2,0,2,3,3
7,12,51,9,25,22,28.15686274509804,9.2,1,4,4,0,5,9
7,13,54,13,21,14,28.88888888888889,12.0,1,3,2,1,0,7
7,14,50,11,28,23,27.78,9.464285714285714,1,4,3,1,3,7
7,15,51,9,15,11,32.705882352941174,13.933333333333334,1,4,1,3,1,0
7,16,55,10,28,18,32.45454545454545,14.821428571428571,1,8,3,5,2,4
7,17,47,7,15,13,29.04255319148936,12.266666666666667,1,3,2,1,0,2
7,18,51,13,14,11,23.254901960784313,12.857142857142858,1,7,4,3,2,2
7,19,48,9,21,18,28.8125,11.857142857142858,1,5,4,1,0,4
7,20,45,12,16,11,31.11111111111111,13.4375,1,3,2,1,2,1
8,1,48,6,19,17,35.041666666666664,16.526315789473685,1,7,6,1,6,1
8,2,58,14,24,18,25.103448275862068,10.0,1,10,4,6,2,4
8,3,59,14,17,15,27.576271186440678,15.647058823529411,1,6,3,3,1,3
8,4,47,13,24,16,26.595744680851062,11.333333333333334,1,3,3,0,5,7
8,5,54,11,17,13,26.37037037037037,12.117647058823529,1,2,2,0,2,2
8,6,56,12,14,11,31.428571428571427,13.071428571428571,1,4,1,3,2,1
8,7,56,12,23,19,26.25,8.956521739130435,1,5,3,2,4,5
8,8,48,12,26,21,19.625,9.346153846153847,1,6,3,3,5,8
8,9,51,10,22,15,26.88235294117647,13.772727272727273,1,3,1,2,2,1
8,10,57,12,19,16,26.280701754385966,13.894736842105264,1,4,1,3,1,2
8,11,49,10,24,19,31.081632653061224,16.833333333333332,1,5,3,2,4,5
8,12,55,11,31,22,27.10909090909091,8.387096774193548,1,2,1,1,5,7
8,13,55,11,24,18,28.0,11.416666666666666,1,3,1,2,4,4
8,14,52,12,28,21,26.557692307692307,9.821428571428571,1,4,2,2,5,10
8,15,49,7,14,13,32.93877551020408,14.071428571428571,1,5,2,3,2,4
8,16,53,11,28,24,30.92452830188679,15.428571428571429,1,7,4,3,3,6
8,17,48,8,15,13,29.270833333333332,12.866666666666667,1,6,3,3,0,0
8,18,52,16,16,12,22.75,12.125,1,3,1,2,3,6
8,19,51,11,21,18,28.03921568627451,12.666666666666666,1,2,1,1,2,2
8,20,46,12,15,13,29.76086956521739,11.466666666666667,1,4,2,2,3,9
9,1,53,11,21,16,31.943396226415093,14.380952380952381,1,2,1,1,5,6
9,2,56,15,23,18,24.25,9.826086956521738,1,10,6,4,6,5
9,3,59,17,16,13,27.54237288135593,16.5625,1,3,2,1,2,4
9,4,50,15,26,18,26.0,11.26923076923077,1,5,3,2,8,7
9,5,56,9,18,15,26.428571428571427,12.38888888888889,1,6,5,1,1,1
9,6,54,10,12,10,31.296296296296298,13.75,1,5,3,2,1,2
9,7,57,12,24,17,25.894736842105264,9.25,1,2,0,2,3,8
9,8,48,14,28,22,18.125,8.928571428571429,1,5,3,2,7,11
9,9,50,8,20,18,28.26,15.85,1,8,5,3,2,5
9,10,55,9,18,16,26.763636363636362,13.555555555555555,1,4,3,1,2,5
9,11,50,9,25,18,30.72,16.6,1,4,2,2,5,5
9,12,55,11,32,24,26.98181818181818,8.9375,1,8,4,4,2,6
9,13,54,8,23,16,29.35185185185185,12.304347826086957,1,2,1,1,2,1
9,14,52,11,29,22,26.634615384615383,9.310344827586206,1,3,3,0,7,8
9,15,48,5,14,10,33.125,14.142857142857142,1,3,1,2,0,2
9,16,54,11,29,22,31.24074074074074,15.655172413793103,1,6,5,1,3,6
9,17,48,8,14,14,29.9375,14.285714285714286,1,6,2,4,0,1
9,18,51,14,16,10,23.352941176470587,12.625,1,7,2,5,0,3
9,19,51,10,23,20,28.92156862745098,12.608695652173912,1,1,1,0,3,2
